"client_id";"client_name";"region"
1;"Blue Shield Partners";"North America"
2;"Apex Financial Group";"Europe"
3;"NovaCare Systems";"North America"
4;"Meridian Logistics";"Asia Pacific"
5;"Orion Tech Solutions";"Europe"
6;"Cascade Insurance";"North America"
7;"Vertex Pharma";"Middle East"
8;"Summit Benefits Corp";"North America"
9;"Ironclad Manufacturing";"Asia Pacific"
10;"Pacific Data Services";"Asia Pacific"
11;"Redwood Health Plans";"North America"
12;"Atlantic Wealth Mgmt";"Europe"
13;"CoreBridge Analytics";"Europe"
14;"Skyline Retail Group";"Latin America"
15;"Quantum Cloud Corp";"North America"
